2014年10月16日 外資及陸資買賣超彙總表 (股)
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數"
" ","2838  ","聯邦銀","110000","90000","20000",
" ","3090  ","日電貿","34000","14000","20000",
" ","1316  ","上曜  ","20000","1000","19000",
" ","2359  ","所羅門","49000","30000","19000",
" ","3545  ","旭曜  ","58000","39000","19000",
" ","1626  ","F-艾美","21000","3000","18000",
" ","1325  ","恆大  ","52000","35000","17000",
" ","3015  ","全漢  ","159000","142000","17000",
" ","3016  ","嘉晶  ","28000","11000","17000",
" ","3437  ","榮創  ","147000","130000","17000",
" ","3588  ","通嘉  ","21000","4000","17000",
" ","4164  ","承業醫","26000","9000","17000",
" ","6139  ","亞翔  ","26000","9000","17000",
" ","6209  ","今國光","42000","25000","17000",
" ","2114  ","鑫永銓","30200","14000","16200",
" ","1730  ","花仙子","22000","6000","16000",
" ","1731  ","美吾華","24000","8000","16000",
" ","1906  ","寶隆  ","22000","6000","16000",
" ",="0061  ","寶滬深","15000","0","15000",
" ",="07729P","康和EC","15000","0","15000",
" ","2358  ","廷鑫  ","29000","14000","15000",
" ","1233  ","天仁  ","17000","3000","14000",
" ","2442  ","新美齊","15000","1000","14000",
" ","2612  ","中航  ","41000","27000","14000",
" ","3229  ","晟鈦  ","25000","11000","14000",
" ","4133  ","亞諾法","21000","7000","14000",
" ","2465  ","麗臺  ","37000","24000","13000",
" ","2608  ","大榮  ","65000","52000","13000",
" ","3050  ","鈺德  ","17000","4000","13000",
" ","5225  ","F-東科","15000","2000","13000",
" ","9912  ","偉聯  ","13000","0","13000",
" ","1540  ","喬福  ","16000","4000","12000",
" ","2501  ","國建  ","357000","345000","12000",
" ","2527  ","宏璟  ","30000","18000","12000",
" ","4746  ","台耀  ","40000","28000","12000",
" ","1219  ","福壽  ","30000","19000","11000",
" ","1721  ","三晃  ","12000","1000","11000",
" ","2017  ","官田鋼","31000","20000","11000",
" ","3029  ","零壹  ","16000","5000","11000",
" ","3532  ","台勝科","51000","40000","11000",
" ","910482","聖馬丁","34000","23000","11000",
" ",="079617","國泰4H","10000","0","10000",
" ",="080316","元大IS","10000","0","10000",
" ",="081808","元大YX","10000","0","10000",
" ",="082062","兆豐8N","10000","0","10000",
" ",="082106","國泰8M","10000","0","10000",
" ",="08941P","3V凱基","10000","0","10000",
" ","1466  ","聚隆  ","18000","8000","10000",
" ","3312  ","弘憶股","24000","14000","10000",
" ","3432  ","台端  ","158000","148000","10000",
" ","910861","神州  ","10000","0","10000",
" ","1514  ","亞力  ","12000","3000","9000",
" ","1538  ","正峰新","24000","15000","9000",
" ","2706  ","第一店","29000","20000","9000",
" ","4942  ","嘉彰  ","25000","16000","9000",
" ","1525  ","江申  ","22000","14000","8000",
" ","2437  ","旺詮  ","22000","14000","8000",
" ","3002  ","歐格  ","9000","1000","8000",
" ","6117  ","迎廣  ","11000","3000","8000",
" ","911608","明輝  ","8000","0","8000",
" ",="080287","日盛FS","7000","0","7000",
" ","1530  ","亞崴  ","22000","15000","7000",
" ","2613  ","中櫃  ","11000","4000","7000",
" ","3419  ","譁裕  ","8000","1000","7000",
" ","1231  ","聯華食","29000","22792","6208",
" ","1726  ","永記  ","54000","48000","6000",
" ","2617  ","台航  ","37000","31000","6000",
" ","4976  ","佳凌  ","8000","2000","6000",
" ","5533  ","皇鼎  ","47000","41000","6000",
" ","6192  ","巨路  ","34000","28000","6000",
" ","912000","晨訊科","6000","0","6000",
" ",="080664","元大JX","5000","0","5000",
" ","1521  ","大億  ","23000","18000","5000",
" ","1808  ","潤隆  ","18000","13000","5000",
" ","2417  ","圓剛  ","20000","15000","5000",
" ","3593  ","力銘  ","36000","31000","5000",
" ","3669  ","圓展  ","18000","13000","5000",
" ","3679  ","新至陞","8000","3000","5000",
" ",="0052  ","FB科技","4000","0","4000",
" ","1615  ","大山  ","5000","1000","4000",
" ","1727  ","中華化","11000","7000","4000",
" ","2535  ","達欣工","28000","24000","4000",
" ","2702  ","華園  ","6000","2000","4000",
